"Step","Grouped runs - relative error (wd): 0","Grouped runs - relative error (wd): 0__MIN","Grouped runs - relative error (wd): 0__MAX"
"2","9.134665902224008","3.776101382789845","21.742004984140163"
"4","5.171007618823008","1.8152927043463225","7.896314615970992"
"8","5.909842245977166","0.8032834600452455","7.942595333060462"
"16","6.879001167070415","1.5527792418614357","8.806551072119074"
"32","6.805879176192734","5.283965849124329","7.823145926846665"
"64","6.145031025160211","0.9717802744349125","7.817674511946409"
"128","3.7172137422475546","0.6261678376003881","6.044824160530115"
"256","2.0183540818468213","0.06879016782185747","6.259150405367244"
"512","1.4174970550012795","0.11917770387675125","4.269795076168761"
"1024","0.3513881335182982","0.011173213180746537","0.988476060272793"
"2048","0.1807242551308579","0.014372051821154199","0.38230752376547184"
"4096","0.20731727553293167","0.0149959124696897","0.42569674800844226"
"8192","0.21833172571724896","0.0646689656230366","0.40289634192384327"
"16384","0.10042586982480592","0.009056473066027498","0.1929254951657303"
"20000","0.10872613379136868","0.02120753281839182","0.2297043874562394"
"30000","0.11178498473600902","0.006479863675182145","0.3198175360551612"
"40000","0.04641839131928542","0.007276208026376199","0.15347894753322883"
"50000","0.03205467887941806","0.0008258674141084957","0.114097710250589"
"60000","0.027551766059062156","0.0066264130168686266","0.061976341843021136"
"70000","0.03583109392272502","0.008028910609935503","0.07954549422812193"
"80000","0.01689016002331254","0.0033453985734616075","0.046822062136821"
"90000","0.02064959104029647","0.005330001515622754","0.04850725037154946"
"100000","0.01864525895832195","0.0038230791811748764","0.033979311671869704"
