"Step","Grouped runs - relative error (wd): 2.45","Grouped runs - relative error (wd): 2.45__MIN","Grouped runs - relative error (wd): 2.45__MAX"
"2","895.1353463941686","6.340397542179866","7836.459263701852"
"4","68.7087379188385","5.304847489655858","528.3247812894975"
"8","7.524428667162365","3.2352157258640646","16.433268678735818"
"16","10.673408677046375","4.842514966537395","19.49066993450244"
"32","11.759595290477542","6.134451387266735","17.927202649533104"
"64","9.276263003501926","4.324317327285342","17.03190091967683"
"128","6.299217749222584","0.6092027869756488","15.316304403210024"
"256","2.122547070234256","0.33669412217844086","4.475976871772452"
"512","0.9139526120228572","0.08490371755236872","2.6956846308871087"
"1024","0.5874871941616323","0.0457542407219532","2.0649233594903698"
"2048","0.3143278480003041","0.05232850415037478","0.9155135252767213"
"4096","0.1684850814329062","0.027044832856177505","0.5486998630448968"
"8192","0.10027618635299948","0.022432338326883097","0.2283963100856135"
"16384","0.05461595047793723","0.007894488518758245","0.13477259247255136"
"20000","0.03941175444277397","0.003452458051228542","0.0839403590253963"
"30000","0.037795173368405155","0.004280229233304828","0.07258033558072344"
"40000","0.029474238931574928","0.0047607592789155224","0.08188615118442714"
"50000","0.024711088104256165","0.005096690666091997","0.07024293609773082"
"60000","0.01993890733355562","0.0020445269223620718","0.046808473589378764"
"70000","0.018771633623015763","0.004246907757381324","0.042917713047507085"
"80000","0.01610460993982979","0.0015031969962929106","0.05480567897976005"
"90000","0.015310275589828698","0.004364496622288411","0.048970259913251546"
"100000","0.0097275158348519","0.0015376344578718515","0.02347632591688963"
